,,,
Le Doc#9602,Jungle,Argent,DGG Le Doc
Breakdown Of Sanity#0721,Toplane,Argent,DGG Helve de Riv
Bumblebee#8150,Support,Diamant,Bumbleint
Night#3817,Midlane,Or,Winsome Night
AYA#5733,Support,Platine,92320111319
X???Ð?#0117,ADC,Argent,TL XEROÐE
BWD Slayer#3719,Toplane,Diamant,BWD Slayer
Booba#5715,Support,Platine,TL Booba
Zéraphina#2015,Support,Argent,Sofiyanaa
Yannus#9152,Jungle,Diamant,Yannus
Delta#7469,Jungle,Argent,Joswordcarry
PxL peyo#9560,Jungle,Platine,Peyo Decimus
Sebrir#4106,Jungle,Platine,Sebrir
pikarus#4361,Midlane,Platine,Sir Konsis
??????#2269,Support,Platine,
Warkizaru#4168,Toplane,Platine,
man2#3318,Midlane,Diamant,man2
[FR] Twix#6335,Support,Or,TweeKz to int
Wescker#4385,Support,Maître,
jacalix#6405,ADC,Diamant,JAK47
?enn?#1577,Support,Diamant,Lux Enjo?er
LOVERxD#1285,Midlane,Platine,BWD LOVER S?m?
Arryh#9172,ADC,Platine,BWD Arryh
Slane#7328,Jungle,Diamant,wandatwn
GlyDers#6349,ADC,Or,Zinedine UZIdane
Onyx#0204,Support,Or,Keria Benzema
KalooStart#1111,Midlane,Or,KalooStart
Midark#2736,Toplane,Diamant,Midark
GRAOUUUR#6210,Midlane,Platine,LIL GRAOUUUR
ImJò#6929,ADC,Platine,ImJò
Venùm#4147,Toplane,Platine,Venùm
,Jungle,Maître,OK RATIO
Pîxel#4996,ADC,Maître,
Torpaz#8437,Toplane,Diamant,
Altriarion#2282,Toplane,Platine,TL Altri
Demrsosh#7793,Jungle,Platine,Tl Demrsosh
Va?øUwU#3416,Midlane,Platine,TL Va?øu
Chloru#2018,Jungle,Or,Chloru
ChriisTa D'or#5121,Toplane,Or,
severin#0506,ADC,Platine,
Zsoo#5494,Support,Or,
Yami Shirou#3149,Midlane,Or,
Chacal Racaille#8016,Midlane,Platine,Chacal Racaille
Migi#6486,Toplane,Platine,Migi
NekoSans#0667,ADC,Or,NekoSans
Valgen#3271,Jungle,Platine,Chacal Valgen
Le p'tit Will#3920,Midlane,Argent,DGG Fakerkiki
titicanum#8106,ADC,Argent,DGG Titicanum
Urek Mazino#5246,Support,Argent,RakaNeko
Gabs ST#4239,ADC,Argent,ST Gabs
Sansey3#8459,Midlane,Argent,Sansey3
Badoit#8187,Support,Argent,Badoit DIFF
Saniiro#1863,Toplane,Bronze,Saniiro
SioOban#7460,Midlane,Diamant,SioOban
Bwrou#7132,Toplane,Diamant,
Rayan Uchiha#6772,Midlane,Platine,POULET DE SEVRAN
Flo#4444,Midlane,Platine,FLORENT BAGARRE
